name,product_type,availability,price,original_price,discount_amount,discount_percentage,black_friday_discount,image,reviews_count,rating
SAMSUNG Galaxy Smart Ring Oro Size 8,another,Available,"$7,999.00","$7,999.00",$353.01,35.34%,No,https://m.media-amazon.com/images/I/61j+HImRS9L._AC_UL320_.jpg,x 12 meses sin intereses,No Rating
"Samsung Celular Galaxy M15 5G Azul Claro 4GB RAM 128GB, Nacional con Garantía",smartphone,Available,"$2,475.23","$3,999.00","$1,523.77",38.10%,No,https://m.media-amazon.com/images/I/61dqezq8ZVL._AC_UL320_.jpg,314,4.6 de 5 estrellas
SAMSUNG - Reloj Galaxy Watch5 Pro 45 mm Negro Titanio,watch,Available,"$3,812.59","$9,999.00","$6,186.41",61.87%,No,https://m.media-amazon.com/images/I/61oIhW5c+2L._AC_UL320_.jpg,490,4.7 de 5 estrellas
"Samsung Celular Galaxy M55 5G Verde 8GB RAM 128GB, Nacional con Garantía",smartphone,Available,"$4,997.07","$7,999.00","$3,001.93",37.53%,No,https://m.media-amazon.com/images/I/61NGj+turzL._AC_UL320_.jpg,77,4.4 de 5 estrellas
SAMSUNG Galaxy A55 8GB 256GB 5G Azul,smartphone,Available,"$7,399.00","$7,399.00","$3,001.93",37.53%,No,https://m.media-amazon.com/images/I/61NtIdRRncL._AC_UL320_.jpg,4,4.1 de 5 estrellas
SAMSUNG Galaxy S23 Ultra 12GB_512GB Negro Desbloqueado (Versión Extranjera),smartphone,Out of Stock,N/A,0,"$3,001.93",37.53%,No,https://m.media-amazon.com/images/I/61J9RnTlIVL._AC_UL320_.jpg,175,4.7 de 5 estrellas
"Samsung Galaxy S21 5G, versión estadounidense, 128 GB, Phantom Gray - desbloqueado (Reacondicionado)",smartphone,Available,"$5,606.19","$5,606.19","$3,001.93",37.53%,No,https://m.media-amazon.com/images/I/61XyNdmvr6L._AC_UL320_.jpg,"6,221",4.0 de 5 estrellas
"Samsung Galaxy S23 Ultra - Lápiz capacitivo de repuesto para bolígrafo S, color negro",smartphone,Available,$797.71,$797.71,"$3,001.93",37.53%,No,https://m.media-amazon.com/images/I/417xPSFsEyL._AC_UL320_.jpg,323,4.6 de 5 estrellas
"Cargador inalámbrico para Samsung, estación de Carga inalámbrica 3 en 1 para Samsung Galaxy S24 Ultra/S23/S22/Z Flip 6/Z Fold 6, Cargador para Samsung Galaxy Watch 5/4/3, Galaxy Buds 2/Pro/+",smartphone,Available,$759.99,$759.99,"$3,001.93",37.53%,No,https://m.media-amazon.com/images/I/61VSKA16Y9L._AC_UL320_.jpg,"5,603",4.4 de 5 estrellas
Samsung Galaxy Tab A9 4GB_64GB Color Gris,tablet,Available,"$2,499.00","$2,699.00",$200.00,7.41%,No,https://m.media-amazon.com/images/I/5169txVgFWL._AC_UL320_.jpg,657,4.6 de 5 estrellas
SAMSUNG- Galaxy S23 Ultra 5G Desbloqueado de fábrica de 256 GB - Verde (renovado),smartphone,Available,"$16,890.98","$16,890.98",$200.00,7.41%,No,https://m.media-amazon.com/images/I/51mXHdm9jHL._AC_UL320_.jpg,143,3.9 de 5 estrellas
"SAMSUNG Galaxy S23+ 5G S9160 Dual 256GB 8GB RAM, cámara de 50 MP, Desbloqueado de fábrica - Phantom Black (Reacondicionado)",smartphone,Available,"$11,799.00","$11,799.00",$200.00,7.41%,No,https://m.media-amazon.com/images/I/518c3bmlouL._AC_UL320_.jpg,4,4.7 de 5 estrellas
"Tongate Funda para Samsung Galaxy S23 Ultra 5G, [Cubierta Deslizante incorporada para la cámara y Protector de Pantalla] [2 Marcos Frontales] Resistente a Golpes de Grado Militar con Soporte, Negro",case,Available,$479.20,$599.00,$119.80,20.00%,No,https://m.media-amazon.com/images/I/717KrxMWUNL._AC_UL320_.jpg,"5,532",4.3 de 5 estrellas
Samsung Galaxy S23+ Plus (5G) 512GB SIM única desbloqueada - Phantom Black (renovado),smartphone,Out of Stock,N/A,0,$119.80,20.00%,No,https://m.media-amazon.com/images/I/510Zms0LUQL._AC_UL320_.jpg,32,4.4 de 5 estrellas
"SAMSUNG Galaxy S23 8Gb Ram 128Gb ROM 5G Color Negro Desbloqueado de fábrica, versión internacional",smartphone,Out of Stock,N/A,0,$119.80,20.00%,No,https://m.media-amazon.com/images/I/711UD7LyLPL._AC_UL320_.jpg,87,4.6 de 5 estrellas
"XLDHYLL Cargador Tipo C, 2PCS Cargador USB C de 25W Carga Rapida con Cable Tipo C de 2M para Samsung Galaxy S23 Ultra/S23+/S23/S22 Ultra/ S22+/S22, S21 Ultra/S21/S21 Plus/S20/Note 10 +/Note",smartphone,Available,$218.99,$218.99,$119.80,20.00%,No,https://m.media-amazon.com/images/I/61Di67awGhL._AC_UL320_.jpg,11,3.7 de 5 estrellas
Spigen Funda Case Liquid Air para Samsung Galaxy S23 (2023) - Matte Black,case,Available,$299.99,$299.99,$119.80,20.00%,No,https://m.media-amazon.com/images/I/71vmm8ochuL._AC_UL320_.jpg,"4,647",4.7 de 5 estrellas
"BVILY Cargador Inalámbrico 3 en 1, Estación de Carga Inalámbrica Rapida Compatible con Galaxy S23 Ultra/S22 Ultra/S21/S20/S21 FE/Z Flip 4, Galaxy Watch 5/4/3/Active 2, Galaxy Buds 2/Buds+/Live",smartphone,Available,$799.00,$799.00,$119.80,20.00%,No,https://m.media-amazon.com/images/I/71mSFp2XhTL._AC_UL320_.jpg,26,4.5 de 5 estrellas
"Samsung Galaxy S22 (128 GB, 8 GB), pantalla de 6.2 pulgadas AMOLED 2X, cámara 4K de 50 MP (reacondicionado)",smartphone,Available,"$6,429.94","$7,045.56",$615.62,8.74%,No,https://m.media-amazon.com/images/I/71c5rhsUkxL._AC_UL320_.jpg,391,4.0 de 5 estrellas
